Game Number,Button Hand 1,Button Hand 2,Small Blind Hand 1,Small Blind Hand 2,Big Blind Hand 1,Big Blind Hand 2,UTG Hand 1,UTG Hand 2,UTG+1 Hand 1,UTG+1 Hand 2,Community Card 1,Community Card 2,Community Card 3,Community Card 4,Community Card 5
762,8 of Diamonds,4 of Spades,4 of Hearts,K of Spades,6 of Diamonds,5 of Spades,7 of Diamonds,5 of Clubs,10 of Hearts,2 of Hearts,2 of Clubs,3 of Spades,7 of Clubs,A of Spades,K of Hearts
763,8 of Clubs,6 of Spades,3 of Diamonds,7 of Clubs,4 of Spades,7 of Diamonds,6 of Hearts,3 of Hearts,A of Diamonds,4 of Diamonds,5 of Diamonds,9 of Hearts,A of Clubs,7 of Spades,Q of Spades
764,3 of Clubs,6 of Clubs,3 of Diamonds,10 of Clubs,7 of Spades,K of Clubs,K of Spades,8 of Diamonds,5 of Hearts,6 of Hearts,4 of Diamonds,5 of Diamonds,3 of Spades,2 of Spades,Q of Hearts
765,7 of Diamonds,10 of Diamonds,2 of Hearts,K of Hearts,A of Spades,7 of Hearts,A of Diamonds,Q of Hearts,9 of Clubs,7 of Clubs,2 of Diamonds,9 of Diamonds,Q of Diamonds,5 of Hearts,K of Diamonds
766,8 of Spades,6 of Diamonds,7 of Hearts,Q of Clubs,5 of Diamonds,10 of Clubs,6 of Clubs,5 of Clubs,9 of Diamonds,3 of Clubs,6 of Spades,8 of Diamonds,7 of Spades,K of Hearts,10 of Diamonds
767,J of Hearts,4 of Diamonds,J of Clubs,5 of Diamonds,8 of Spades,K of Diamonds,7 of Diamonds,A of Clubs,8 of Diamonds,K of Spades,9 of Diamonds,9 of Hearts,10 of Diamonds,J of Spades,3 of Clubs
768,7 of Diamonds,7 of Hearts,K of Clubs,3 of Hearts,Q of Spades,5 of Hearts,2 of Clubs,3 of Clubs,10 of Spades,9 of Diamonds,K of Diamonds,A of Spades,3 of Diamonds,5 of Diamonds,6 of Clubs
769,J of Spades,8 of Clubs,K of Diamonds,K of Hearts,8 of Hearts,3 of Clubs,A of Diamonds,6 of Clubs,2 of Hearts,3 of Hearts,3 of Spades,K of Clubs,7 of Clubs,A of Spades,5 of Hearts
770,7 of Diamonds,5 of Clubs,4 of Hearts,2 of Hearts,7 of Clubs,2 of Spades,3 of Spades,Q of Spades,9 of Hearts,A of Diamonds,6 of Spades,7 of Hearts,K of Diamonds,6 of Diamonds,5 of Hearts
771,10 of Spades,9 of Hearts,Q of Diamonds,J of Hearts,4 of Diamonds,5 of Hearts,10 of Diamonds,K of Hearts,2 of Clubs,8 of Spades,A of Hearts,J of Spades,3 of Hearts,K of Diamonds,9 of Spades
772,9 of Diamonds,8 of Diamonds,5 of Spades,4 of Diamonds,J of Diamonds,4 of Spades,7 of Clubs,A of Spades,3 of Spades,9 of Hearts,2 of Clubs,A of Hearts,Q of Hearts,2 of Spades,Q of Diamonds
773,3 of Spades,9 of Spades,J of Clubs,6 of Hearts,9 of Clubs,7 of Clubs,2 of Spades,2 of Hearts,Q of Clubs,A of Spades,Q of Spades,K of Diamonds,A of Diamonds,5 of Hearts,4 of Diamonds
774,10 of Spades,Q of Spades,3 of Diamonds,Q of Diamonds,5 of Hearts,9 of Hearts,10 of Diamonds,7 of Hearts,9 of Spades,8 of Spades,J of Spades,3 of Hearts,9 of Diamonds,A of Clubs,2 of Diamonds
775,3 of Clubs,6 of Hearts,4 of Spades,8 of Spades,10 of Hearts,10 of Diamonds,K of Diamonds,2 of Diamonds,A of Clubs,7 of Spades,J of Spades,A of Diamonds,5 of Clubs,J of Diamonds,7 of Hearts
776,Q of Spades,9 of Diamonds,8 of Clubs,4 of Spades,J of Clubs,2 of Spades,9 of Hearts,Q of Clubs,10 of Clubs,2 of Diamonds,4 of Clubs,3 of Clubs,6 of Spades,2 of Clubs,4 of Hearts
777,4 of Clubs,5 of Spades,2 of Diamonds,3 of Diamonds,2 of Spades,6 of Spades,3 of Hearts,Q of Spades,6 of Hearts,7 of Clubs,7 of Spades,4 of Spades,J of Diamonds,3 of Spades,2 of Clubs
778,J of Hearts,2 of Diamonds,7 of Hearts,Q of Clubs,2 of Spades,J of Diamonds,7 of Diamonds,5 of Spades,6 of Spades,7 of Clubs,Q of Hearts,10 of Spades,3 of Hearts,2 of Clubs,A of Spades
779,9 of Clubs,8 of Spades,4 of Hearts,A of Hearts,K of Spades,8 of Hearts,5 of Diamonds,10 of Diamonds,6 of Spades,K of Hearts,6 of Hearts,Q of Clubs,J of Clubs,5 of Hearts,3 of Spades
780,3 of Diamonds,J of Clubs,A of Clubs,6 of Spades,10 of Diamonds,9 of Hearts,A of Spades,10 of Clubs,J of Diamonds,9 of Clubs,J of Hearts,4 of Clubs,K of Diamonds,7 of Spades,5 of Diamonds
781,8 of Clubs,4 of Spades,6 of Spades,6 of Diamonds,Q of Diamonds,10 of Spades,10 of Diamonds,Q of Hearts,J of Hearts,2 of Hearts,6 of Clubs,4 of Diamonds,6 of Hearts,4 of Clubs,7 of Hearts
782,7 of Diamonds,5 of Diamonds,7 of Clubs,4 of Clubs,10 of Clubs,6 of Clubs,Q of Hearts,5 of Clubs,A of Hearts,8 of Hearts,2 of Hearts,Q of Diamonds,J of Diamonds,K of Clubs,A of Spades
783,A of Diamonds,3 of Spades,K of Hearts,8 of Hearts,10 of Diamonds,8 of Clubs,10 of Hearts,3 of Clubs,8 of Diamonds,5 of Diamonds,4 of Spades,K of Diamonds,3 of Hearts,K of Clubs,9 of Hearts
784,Q of Hearts,3 of Hearts,6 of Spades,7 of Spades,7 of Clubs,Q of Clubs,K of Clubs,Q of Diamonds,K of Spades,2 of Spades,J of Diamonds,7 of Hearts,3 of Spades,8 of Spades,2 of Diamonds
785,6 of Diamonds,Q of Hearts,3 of Clubs,7 of Hearts,7 of Clubs,4 of Spades,6 of Spades,J of Hearts,J of Spades,8 of Hearts,J of Diamonds,4 of Hearts,J of Clubs,10 of Clubs,10 of Spades
786,8 of Spades,Q of Clubs,10 of Diamonds,7 of Spades,6 of Hearts,9 of Hearts,J of Spades,K of Hearts,5 of Clubs,6 of Spades,7 of Clubs,Q of Diamonds,5 of Hearts,10 of Hearts,4 of Diamonds
787,6 of Spades,2 of Clubs,2 of Diamonds,5 of Hearts,4 of Hearts,A of Diamonds,7 of Diamonds,2 of Spades,3 of Spades,J of Hearts,7 of Clubs,5 of Clubs,K of Diamonds,Q of Hearts,J of Diamonds
788,8 of Diamonds,8 of Spades,2 of Hearts,J of Clubs,7 of Clubs,9 of Clubs,5 of Hearts,6 of Hearts,7 of Hearts,7 of Spades,10 of Hearts,8 of Clubs,3 of Spades,3 of Clubs,4 of Spades
789,5 of Clubs,6 of Clubs,4 of Hearts,8 of Diamonds,6 of Hearts,K of Diamonds,5 of Diamonds,2 of Diamonds,8 of Spades,2 of Clubs,8 of Hearts,7 of Diamonds,9 of Spades,A of Diamonds,J of Hearts
790,J of Spades,9 of Clubs,10 of Hearts,2 of Hearts,3 of Hearts,K of Diamonds,K of Hearts,5 of Clubs,9 of Spades,8 of Hearts,10 of Clubs,A of Hearts,2 of Diamonds,4 of Spades,5 of Diamonds
791,J of Hearts,5 of Diamonds,3 of Clubs,2 of Clubs,10 of Spades,10 of Diamonds,2 of Spades,K of Diamonds,3 of Hearts,10 of Clubs,4 of Clubs,7 of Spades,A of Diamonds,7 of Diamonds,9 of Hearts
792,9 of Diamonds,J of Spades,K of Hearts,4 of Spades,9 of Clubs,10 of Spades,8 of Clubs,5 of Spades,8 of Diamonds,7 of Diamonds,Q of Spades,8 of Hearts,10 of Clubs,10 of Hearts,6 of Diamonds
793,9 of Spades,6 of Hearts,A of Diamonds,Q of Diamonds,4 of Spades,3 of Hearts,A of Hearts,6 of Diamonds,9 of Hearts,2 of Diamonds,5 of Hearts,A of Spades,K of Hearts,10 of Diamonds,5 of Clubs
794,Q of Hearts,A of Spades,3 of Diamonds,8 of Clubs,5 of Spades,9 of Hearts,3 of Clubs,2 of Spades,9 of Spades,6 of Diamonds,Q of Clubs,3 of Spades,5 of Hearts,8 of Hearts,4 of Hearts
795,2 of Clubs,2 of Diamonds,2 of Hearts,7 of Diamonds,3 of Clubs,5 of Spades,6 of Diamonds,K of Clubs,10 of Spades,4 of Diamonds,9 of Diamonds,7 of Hearts,8 of Diamonds,K of Diamonds,6 of Clubs
796,A of Diamonds,J of Hearts,5 of Spades,2 of Hearts,Q of Clubs,9 of Diamonds,3 of Clubs,6 of Diamonds,A of Clubs,9 of Hearts,2 of Clubs,6 of Spades,3 of Spades,A of Hearts,8 of Clubs
797,Q of Diamonds,J of Diamonds,K of Clubs,10 of Spades,5 of Hearts,4 of Diamonds,6 of Spades,8 of Hearts,K of Spades,7 of Clubs,J of Spades,J of Hearts,10 of Diamonds,7 of Hearts,10 of Hearts
798,K of Spades,10 of Diamonds,7 of Hearts,6 of Spades,8 of Diamonds,6 of Hearts,J of Diamonds,8 of Spades,A of Hearts,5 of Spades,8 of Clubs,3 of Diamonds,Q of Clubs,Q of Diamonds,5 of Diamonds
799,3 of Spades,Q of Diamonds,3 of Diamonds,6 of Hearts,4 of Diamonds,Q of Spades,K of Diamonds,2 of Spades,7 of Clubs,9 of Hearts,3 of Clubs,10 of Diamonds,Q of Hearts,10 of Clubs,2 of Diamonds
800,K of Spades,3 of Hearts,A of Hearts,4 of Spades,3 of Clubs,8 of Diamonds,3 of Spades,J of Diamonds,10 of Clubs,Q of Spades,6 of Spades,6 of Clubs,10 of Spades,9 of Hearts,5 of Hearts
801,K of Hearts,4 of Clubs,9 of Hearts,Q of Diamonds,4 of Hearts,5 of Hearts,5 of Clubs,Q of Hearts,K of Clubs,6 of Clubs,A of Spades,4 of Spades,A of Diamonds,7 of Hearts,6 of Diamonds
802,K of Hearts,K of Spades,3 of Clubs,4 of Spades,K of Clubs,10 of Diamonds,7 of Diamonds,7 of Hearts,6 of Spades,2 of Diamonds,2 of Spades,8 of Clubs,7 of Spades,10 of Clubs,J of Hearts
803,4 of Hearts,J of Diamonds,7 of Clubs,5 of Diamonds,6 of Clubs,7 of Spades,K of Hearts,8 of Hearts,10 of Clubs,10 of Hearts,9 of Hearts,2 of Spades,Q of Spades,3 of Diamonds,K of Spades
804,3 of Hearts,4 of Spades,5 of Clubs,6 of Spades,9 of Clubs,8 of Spades,8 of Clubs,A of Clubs,K of Spades,10 of Clubs,4 of Diamonds,10 of Hearts,7 of Spades,J of Spades,10 of Diamonds
805,2 of Diamonds,Q of Clubs,9 of Diamonds,10 of Spades,K of Hearts,9 of Clubs,A of Spades,8 of Spades,8 of Diamonds,5 of Spades,K of Clubs,7 of Clubs,7 of Diamonds,2 of Hearts,J of Hearts
806,10 of Diamonds,10 of Clubs,Q of Hearts,7 of Clubs,6 of Hearts,Q of Clubs,6 of Diamonds,8 of Diamonds,10 of Spades,J of Spades,4 of Spades,J of Hearts,8 of Spades,3 of Spades,K of Hearts
807,6 of Spades,4 of Diamonds,A of Spades,6 of Diamonds,7 of Hearts,7 of Spades,7 of Diamonds,A of Diamonds,8 of Spades,3 of Diamonds,J of Clubs,5 of Spades,5 of Diamonds,8 of Diamonds,4 of Spades
808,3 of Spades,8 of Diamonds,2 of Diamonds,10 of Diamonds,6 of Diamonds,Q of Hearts,8 of Hearts,4 of Diamonds,7 of Hearts,7 of Spades,4 of Hearts,4 of Spades,3 of Clubs,A of Clubs,A of Diamonds
809,7 of Diamonds,5 of Clubs,K of Diamonds,3 of Spades,2 of Diamonds,K of Spades,5 of Diamonds,J of Spades,J of Diamonds,8 of Diamonds,9 of Diamonds,3 of Clubs,A of Hearts,2 of Spades,A of Clubs
810,3 of Spades,10 of Clubs,J of Spades,K of Diamonds,5 of Spades,3 of Clubs,6 of Diamonds,K of Spades,7 of Diamonds,J of Clubs,10 of Hearts,2 of Clubs,Q of Spades,8 of Hearts,Q of Clubs
811,K of Hearts,9 of Spades,Q of Hearts,5 of Clubs,7 of Spades,A of Clubs,9 of Clubs,2 of Spades,10 of Clubs,10 of Spades,7 of Diamonds,A of Spades,2 of Hearts,6 of Diamonds,Q of Spades
812,Q of Diamonds,K of Hearts,7 of Diamonds,Q of Spades,6 of Spades,10 of Diamonds,K of Spades,9 of Diamonds,9 of Hearts,3 of Hearts,A of Diamonds,3 of Spades,6 of Diamonds,Q of Hearts,4 of Spades
813,2 of Diamonds,K of Hearts,3 of Spades,3 of Diamonds,A of Diamonds,10 of Clubs,2 of Hearts,9 of Spades,6 of Hearts,6 of Spades,8 of Spades,J of Hearts,3 of Hearts,9 of Clubs,5 of Diamonds
814,Q of Hearts,5 of Diamonds,4 of Spades,10 of Hearts,7 of Spades,9 of Diamonds,Q of Spades,3 of Clubs,6 of Spades,2 of Diamonds,K of Diamonds,7 of Clubs,J of Hearts,K of Hearts,2 of Clubs
815,6 of Clubs,5 of Spades,2 of Clubs,10 of Spades,K of Clubs,3 of Clubs,7 of Hearts,10 of Diamonds,Q of Diamonds,J of Clubs,9 of Hearts,9 of Spades,7 of Diamonds,K of Spades,4 of Hearts
816,5 of Clubs,Q of Diamonds,3 of Diamonds,Q of Hearts,5 of Spades,2 of Spades,7 of Spades,6 of Diamonds,6 of Hearts,3 of Clubs,A of Spades,4 of Hearts,8 of Hearts,K of Clubs,A of Clubs
817,Q of Hearts,K of Hearts,A of Diamonds,3 of Clubs,6 of Clubs,J of Diamonds,5 of Hearts,3 of Hearts,Q of Spades,8 of Spades,10 of Clubs,2 of Spades,4 of Spades,A of Clubs,3 of Diamonds
818,K of Clubs,6 of Diamonds,5 of Diamonds,Q of Diamonds,A of Hearts,J of Clubs,7 of Spades,7 of Diamonds,9 of Spades,J of Spades,3 of Hearts,10 of Diamonds,Q of Hearts,6 of Hearts,9 of Clubs
819,9 of Diamonds,4 of Spades,3 of Hearts,10 of Diamonds,6 of Diamonds,A of Hearts,J of Diamonds,8 of Spades,J of Hearts,4 of Diamonds,7 of Diamonds,6 of Spades,5 of Hearts,4 of Hearts,9 of Hearts
820,5 of Clubs,7 of Diamonds,4 of Hearts,3 of Spades,10 of Spades,6 of Hearts,9 of Clubs,K of Spades,3 of Diamonds,A of Hearts,5 of Hearts,7 of Spades,J of Hearts,J of Spades,10 of Clubs
821,3 of Spades,K of Clubs,A of Diamonds,4 of Diamonds,9 of Spades,4 of Spades,2 of Clubs,7 of Clubs,10 of Clubs,6 of Diamonds,8 of Spades,9 of Diamonds,8 of Hearts,Q of Hearts,5 of Spades
822,3 of Hearts,9 of Spades,3 of Clubs,7 of Spades,10 of Hearts,8 of Diamonds,J of Spades,8 of Hearts,4 of Clubs,5 of Hearts,6 of Spades,2 of Hearts,10 of Diamonds,6 of Hearts,6 of Diamonds
823,A of Clubs,A of Spades,2 of Spades,Q of Clubs,10 of Spades,7 of Clubs,7 of Spades,J of Diamonds,3 of Spades,5 of Spades,9 of Diamonds,2 of Clubs,9 of Spades,3 of Clubs,J of Spades
824,5 of Spades,9 of Clubs,8 of Hearts,10 of Spades,4 of Spades,2 of Spades,8 of Diamonds,4 of Hearts,J of Clubs,K of Clubs,4 of Clubs,8 of Clubs,A of Spades,A of Clubs,Q of Clubs
825,3 of Clubs,5 of Diamonds,6 of Clubs,3 of Hearts,J of Diamonds,4 of Diamonds,A of Spades,2 of Spades,2 of Diamonds,Q of Hearts,Q of Clubs,5 of Hearts,7 of Spades,9 of Hearts,Q of Spades
826,8 of Spades,10 of Spades,10 of Hearts,7 of Diamonds,3 of Diamonds,6 of Spades,Q of Hearts,K of Spades,4 of Spades,Q of Clubs,5 of Diamonds,2 of Clubs,J of Diamonds,6 of Hearts,9 of Clubs
827,3 of Spades,8 of Spades,2 of Hearts,Q of Diamonds,3 of Clubs,A of Spades,5 of Spades,2 of Diamonds,A of Hearts,A of Clubs,J of Diamonds,5 of Clubs,K of Spades,8 of Diamonds,10 of Hearts
828,2 of Diamonds,6 of Spades,2 of Spades,7 of Spades,4 of Spades,9 of Clubs,4 of Diamonds,Q of Spades,2 of Clubs,J of Hearts,9 of Diamonds,2 of Hearts,10 of Diamonds,K of Diamonds,4 of Hearts
829,J of Diamonds,3 of Clubs,2 of Clubs,K of Hearts,8 of Diamonds,7 of Hearts,5 of Spades,K of Clubs,8 of Hearts,6 of Clubs,5 of Hearts,10 of Hearts,6 of Hearts,A of Hearts,K of Spades
830,3 of Spades,9 of Hearts,Q of Diamonds,K of Diamonds,8 of Diamonds,5 of Hearts,Q of Hearts,4 of Hearts,10 of Spades,A of Clubs,A of Diamonds,A of Spades,6 of Clubs,J of Clubs,Q of Spades
831,9 of Hearts,8 of Diamonds,Q of Clubs,A of Hearts,5 of Diamonds,A of Clubs,7 of Clubs,8 of Hearts,J of Diamonds,2 of Spades,3 of Clubs,6 of Hearts,7 of Diamonds,5 of Clubs,2 of Diamonds
832,K of Diamonds,5 of Spades,4 of Spades,7 of Diamonds,5 of Diamonds,4 of Clubs,6 of Diamonds,J of Diamonds,8 of Hearts,5 of Hearts,3 of Clubs,6 of Spades,7 of Hearts,Q of Hearts,10 of Spades
833,6 of Clubs,10 of Clubs,9 of Spades,5 of Diamonds,3 of Spades,2 of Hearts,J of Clubs,Q of Diamonds,10 of Hearts,5 of Clubs,K of Clubs,4 of Hearts,4 of Clubs,2 of Clubs,J of Hearts
834,6 of Spades,9 of Spades,8 of Clubs,3 of Diamonds,A of Diamonds,A of Hearts,Q of Hearts,5 of Clubs,Q of Clubs,4 of Hearts,K of Spades,J of Diamonds,4 of Diamonds,K of Diamonds,6 of Clubs
835,6 of Diamonds,2 of Diamonds,5 of Clubs,5 of Diamonds,9 of Clubs,10 of Clubs,10 of Spades,8 of Spades,4 of Diamonds,4 of Clubs,A of Spades,A of Diamonds,Q of Clubs,3 of Diamonds,Q of Diamonds
836,6 of Clubs,10 of Spades,5 of Hearts,2 of Diamonds,9 of Spades,2 of Clubs,A of Diamonds,9 of Clubs,7 of Hearts,6 of Spades,8 of Diamonds,7 of Spades,8 of Hearts,10 of Clubs,J of Spades
837,8 of Clubs,A of Clubs,5 of Hearts,K of Clubs,10 of Spades,8 of Spades,3 of Clubs,4 of Diamonds,4 of Hearts,J of Hearts,6 of Spades,6 of Hearts,A of Hearts,2 of Clubs,9 of Hearts
838,3 of Spades,K of Diamonds,5 of Spades,8 of Clubs,J of Spades,J of Hearts,J of Diamonds,3 of Clubs,7 of Spades,2 of Hearts,4 of Diamonds,7 of Clubs,3 of Diamonds,9 of Diamonds,Q of Hearts
839,6 of Diamonds,5 of Diamonds,J of Diamonds,K of Spades,3 of Spades,8 of Spades,2 of Spades,J of Clubs,3 of Diamonds,8 of Diamonds,Q of Spades,6 of Clubs,10 of Spades,K of Clubs,5 of Hearts
840,5 of Diamonds,10 of Diamonds,8 of Clubs,3 of Hearts,3 of Diamonds,K of Spades,J of Hearts,3 of Spades,Q of Hearts,7 of Clubs,9 of Hearts,9 of Clubs,4 of Diamonds,7 of Hearts,Q of Clubs
841,A of Diamonds,J of Hearts,5 of Spades,7 of Diamonds,7 of Hearts,2 of Hearts,K of Clubs,9 of Diamonds,10 of Clubs,7 of Clubs,J of Spades,5 of Diamonds,3 of Hearts,3 of Clubs,J of Clubs
842,9 of Hearts,A of Diamonds,10 of Diamonds,3 of Hearts,4 of Spades,K of Hearts,10 of Clubs,2 of Spades,4 of Diamonds,9 of Spades,9 of Diamonds,6 of Clubs,8 of Spades,10 of Hearts,J of Hearts
843,8 of Clubs,6 of Hearts,K of Spades,3 of Diamonds,4 of Spades,5 of Clubs,4 of Hearts,3 of Spades,9 of Clubs,K of Hearts,3 of Clubs,7 of Spades,6 of Diamonds,10 of Clubs,A of Clubs
844,8 of Diamonds,K of Diamonds,2 of Spades,4 of Spades,4 of Clubs,Q of Spades,3 of Diamonds,5 of Spades,3 of Clubs,7 of Spades,4 of Diamonds,6 of Diamonds,10 of Spades,6 of Hearts,6 of Clubs
845,4 of Diamonds,Q of Clubs,6 of Diamonds,5 of Hearts,K of Hearts,2 of Hearts,10 of Hearts,K of Diamonds,6 of Spades,3 of Spades,10 of Spades,6 of Hearts,7 of Clubs,Q of Spades,A of Spades
846,9 of Spades,Q of Spades,K of Clubs,8 of Clubs,9 of Diamonds,J of Diamonds,2 of Hearts,8 of Hearts,2 of Spades,5 of Diamonds,6 of Hearts,4 of Spades,Q of Diamonds,Q of Hearts,8 of Spades
847,Q of Hearts,7 of Spades,6 of Spades,K of Hearts,7 of Hearts,A of Spades,4 of Diamonds,4 of Spades,9 of Clubs,3 of Clubs,J of Hearts,7 of Clubs,8 of Hearts,2 of Diamonds,5 of Spades
848,3 of Hearts,9 of Clubs,2 of Clubs,8 of Hearts,J of Hearts,A of Diamonds,10 of Clubs,A of Clubs,K of Hearts,10 of Diamonds,7 of Diamonds,9 of Hearts,2 of Hearts,5 of Spades,Q of Hearts
849,8 of Clubs,2 of Diamonds,J of Spades,7 of Clubs,3 of Spades,Q of Hearts,6 of Clubs,8 of Diamonds,6 of Hearts,Q of Diamonds,6 of Spades,Q of Clubs,K of Diamonds,10 of Clubs,2 of Spades
850,10 of Spades,K of Spades,K of Hearts,3 of Diamonds,J of Spades,5 of Spades,A of Hearts,6 of Hearts,2 of Spades,5 of Diamonds,9 of Clubs,A of Spades,10 of Diamonds,8 of Clubs,7 of Diamonds
851,A of Spades,J of Clubs,K of Diamonds,J of Spades,A of Diamonds,7 of Hearts,10 of Hearts,J of Hearts,Q of Clubs,6 of Hearts,8 of Spades,10 of Diamonds,4 of Clubs,7 of Spades,2 of Clubs
852,A of Clubs,2 of Hearts,4 of Diamonds,4 of Clubs,3 of Diamonds,6 of Hearts,J of Hearts,7 of Diamonds,Q of Clubs,Q of Spades,10 of Clubs,9 of Spades,J of Clubs,5 of Diamonds,9 of Clubs
853,10 of Diamonds,9 of Diamonds,Q of Diamonds,7 of Clubs,A of Diamonds,A of Spades,K of Hearts,Q of Spades,3 of Clubs,J of Spades,Q of Hearts,6 of Spades,4 of Clubs,2 of Spades,10 of Clubs
854,9 of Spades,8 of Clubs,7 of Clubs,A of Diamonds,10 of Hearts,A of Hearts,10 of Clubs,5 of Hearts,6 of Spades,3 of Clubs,A of Spades,J of Hearts,K of Diamonds,9 of Diamonds,Q of Hearts
855,7 of Clubs,K of Hearts,7 of Diamonds,5 of Clubs,9 of Diamonds,6 of Spades,Q of Diamonds,4 of Diamonds,8 of Clubs,9 of Spades,5 of Hearts,3 of Diamonds,8 of Hearts,4 of Clubs,8 of Spades
856,6 of Hearts,Q of Spades,J of Clubs,7 of Diamonds,4 of Spades,6 of Clubs,A of Diamonds,7 of Hearts,10 of Spades,3 of Diamonds,A of Clubs,5 of Diamonds,8 of Hearts,8 of Clubs,9 of Spades
857,Q of Spades,10 of Spades,Q of Clubs,A of Hearts,K of Clubs,3 of Diamonds,10 of Diamonds,5 of Clubs,9 of Hearts,2 of Diamonds,8 of Hearts,6 of Hearts,7 of Diamonds,K of Hearts,3 of Spades
858,8 of Spades,J of Diamonds,2 of Diamonds,7 of Hearts,A of Hearts,5 of Diamonds,5 of Spades,K of Clubs,2 of Clubs,6 of Clubs,9 of Spades,10 of Spades,10 of Clubs,7 of Diamonds,5 of Clubs
859,K of Diamonds,6 of Clubs,8 of Diamonds,Q of Hearts,3 of Diamonds,6 of Hearts,10 of Spades,Q of Spades,K of Spades,9 of Diamonds,8 of Hearts,8 of Spades,5 of Hearts,A of Spades,3 of Clubs
860,10 of Diamonds,A of Clubs,A of Diamonds,J of Spades,8 of Clubs,6 of Diamonds,7 of Hearts,Q of Clubs,Q of Hearts,9 of Spades,4 of Clubs,3 of Diamonds,3 of Clubs,10 of Clubs,6 of Hearts
861,J of Diamonds,9 of Hearts,J of Clubs,4 of Diamonds,3 of Hearts,9 of Diamonds,8 of Diamonds,3 of Clubs,2 of Spades,A of Spades,5 of Hearts,4 of Hearts,10 of Hearts,8 of Hearts,J of Hearts
862,7 of Diamonds,2 of Spades,6 of Spades,J of Diamonds,5 of Diamonds,J of Clubs,5 of Hearts,9 of Diamonds,9 of Hearts,Q of Clubs,6 of Hearts,3 of Hearts,4 of Clubs,Q of Hearts,Q of Spades
863,3 of Hearts,J of Diamonds,5 of Clubs,J of Hearts,7 of Hearts,7 of Clubs,4 of Clubs,K of Clubs,4 of Diamonds,2 of Spades,2 of Diamonds,10 of Clubs,A of Spades,3 of Clubs,3 of Diamonds
864,10 of Spades,9 of Spades,3 of Hearts,6 of Clubs,Q of Spades,7 of Clubs,3 of Clubs,K of Spades,5 of Spades,5 of Clubs,Q of Diamonds,10 of Diamonds,Q of Hearts,J of Hearts,K of Clubs
865,K of Clubs,2 of Spades,J of Spades,4 of Diamonds,3 of Hearts,K of Spades,2 of Clubs,2 of Diamonds,9 of Diamonds,2 of Hearts,7 of Clubs,10 of Diamonds,K of Diamonds,10 of Hearts,3 of Spades
866,J of Diamonds,Q of Diamonds,9 of Clubs,A of Clubs,7 of Diamonds,8 of Diamonds,3 of Clubs,A of Spades,6 of Diamonds,10 of Clubs,4 of Hearts,A of Diamonds,4 of Spades,2 of Hearts,5 of Spades
867,2 of Spades,6 of Spades,7 of Hearts,8 of Spades,9 of Spades,9 of Hearts,8 of Clubs,3 of Spades,7 of Clubs,10 of Spades,5 of Spades,9 of Diamonds,A of Diamonds,2 of Hearts,6 of Diamonds
868,Q of Spades,4 of Hearts,3 of Hearts,6 of Diamonds,K of Hearts,J of Diamonds,A of Clubs,5 of Diamonds,4 of Clubs,6 of Clubs,3 of Clubs,10 of Hearts,K of Diamonds,8 of Spades,4 of Spades
869,3 of Diamonds,K of Spades,2 of Spades,8 of Spades,6 of Spades,Q of Hearts,J of Spades,10 of Clubs,5 of Clubs,10 of Spades,K of Hearts,Q of Clubs,Q of Diamonds,A of Clubs,4 of Hearts
870,Q of Hearts,J of Hearts,10 of Diamonds,J of Clubs,2 of Spades,2 of Diamonds,8 of Spades,3 of Clubs,6 of Clubs,K of Hearts,K of Spades,4 of Spades,5 of Clubs,7 of Hearts,Q of Diamonds
871,4 of Spades,7 of Hearts,4 of Hearts,Q of Spades,9 of Clubs,5 of Hearts,J of Hearts,7 of Clubs,8 of Clubs,5 of Diamonds,4 of Diamonds,6 of Diamonds,A of Hearts,J of Spades,10 of Diamonds
872,K of Hearts,8 of Diamonds,J of Diamonds,Q of Spades,A of Hearts,K of Clubs,4 of Clubs,5 of Hearts,Q of Hearts,9 of Spades,J of Clubs,6 of Diamonds,7 of Clubs,A of Spades,2 of Spades
873,J of Clubs,Q of Spades,J of Hearts,6 of Clubs,9 of Clubs,Q of Diamonds,4 of Spades,A of Clubs,7 of Diamonds,Q of Clubs,10 of Diamonds,8 of Spades,A of Diamonds,7 of Spades,9 of Diamonds
874,7 of Clubs,10 of Clubs,3 of Clubs,5 of Diamonds,9 of Spades,5 of Spades,2 of Spades,9 of Clubs,2 of Hearts,8 of Diamonds,6 of Hearts,2 of Clubs,A of Spades,A of Clubs,4 of Clubs
875,9 of Hearts,K of Clubs,7 of Spades,2 of Hearts,3 of Clubs,9 of Diamonds,5 of Hearts,A of Spades,6 of Spades,Q of Spades,8 of Clubs,J of Hearts,10 of Spades,4 of Hearts,4 of Spades
876,4 of Spades,A of Diamonds,2 of Hearts,7 of Clubs,8 of Clubs,7 of Hearts,9 of Clubs,6 of Clubs,Q of Diamonds,9 of Diamonds,K of Hearts,2 of Diamonds,5 of Diamonds,4 of Hearts,A of Spades
877,6 of Hearts,3 of Clubs,10 of Hearts,10 of Clubs,7 of Clubs,4 of Diamonds,5 of Diamonds,A of Diamonds,3 of Diamonds,9 of Spades,5 of Spades,K of Clubs,8 of Spades,Q of Spades,A of Spades
